Nom,Type,Attribut,ATK,DEF,Niveau
Magicians' Defense,Trap Card,,,,
Magicians' Souls,Effect Monster,DARK,0,0,1
Magicore Warrior of the Relics,Effect Monster,FIRE,2300,1000,4
Magidog,Effect Monster,LIGHT,1700,1000,4
Magikey Battle,Spell Card,,,,
Magikey Duo,Trap Card,,,,
Magikey Locking,Trap Card,,,,
Magikey Maftea,Spell Card,,,,
Magikey Unlocking,Trap Card,,,,
Magikey World,Spell Card,,,,
Magikuriboh,Effect Monster,DARK,300,200,1
Magistery Alchemist,Trap Card,,,,
Magistus Invocation,Spell Card,,,,
Magistus Theurgy,Spell Card,,,,
Magistus Vritra,Spell Card,,,,
Magma Dragon,Effect Monster,FIRE,1600,1200,4
Magmacho Dragon,Effect Monster,FIRE,1800,2200,8
Magna-Slash Dragon,Effect Monster,LIGHT,2400,1200,6
Magnarokket Dragon,Effect Monster,DARK,1800,1200,4
Magnet Circle LV2,Spell Card,,,,
Magnet Conversion,Trap Card,,,,
Magnet Force,Trap Card,,,,
Magnet Induction,Spell Card,,,,
Magnet Reverse,Spell Card,,,,
Magnetic Field,Spell Card,,,,
Magnificent Machine Angel,Spell Card,,,,
Magnum Shield,Spell Card,,,,
Maha Vailo,Effect Monster,LIGHT,1550,1400,4
"Maha Vailo, Light of the Heavens",Effect Monster,LIGHT,1550,1400,8
Mahunder,Effect Monster,LIGHT,1400,700,4
Maiden of Blue Tears,Trap Card,,,,
Maiden of Macabre,Effect Monster,DARK,1700,0,4
Maiden of the Aqua,Effect Monster,WATER,700,2000,4
Maiden of the Millennium Moon,Effect Monster,LIGHT,1500,1300,4
Maiden of the Moonlight,Normal Monster,LIGHT,1500,1300,4
Majespecter Cyclone,Spell Card,,,,
Majespecter Gust,Trap Card,,,,
Majespecter Sonics,Spell Card,,,,
Majespecter Storm,Spell Card,,,,
Majespecter Supercell,Trap Card,,,,
Majespecter Tempest,Trap Card,,,,
Majespecter Tornado,Trap Card,,,,
Majespecter Wind,Spell Card,,,,
Majestic Absorption,Spell Card,,,,
Majestic Mech - Goryu,Effect Monster,LIGHT,2900,1800,8
Majestic Mech - Ohka,Effect Monster,LIGHT,2400,1400,6
Majestic Mech - Senku,Effect Monster,LIGHT,1000,500,4
Majestic Mirage,Trap Card,,,,
Majesty Hyperion,Effect Monster,DARK,2100,2700,8
"Majesty Maiden, the True Dracocaster",Effect Monster,WIND,2300,1500,5
Majesty with Dragons of White,Trap Card,,,,
Majesty with Eyes of Blue,Spell Card,,,,
Majesty's Fiend,Effect Monster,LIGHT,2400,1000,6
Majesty's Pegasus,Spell Card,,,,
Maji-Gire Panda,Effect Monster,EARTH,1000,800,4
Majioshaleon,Effect Monster,WATER,2000,800,5
Majiosheldon,Effect Monster,WATER,800,2000,3
Major Riot,Trap Card,,,,
Maju Garzett,Effect Monster,DARK,-1,0,7
"Makiu, the Magical Mist",Spell Card,,,,
Makyura the Destructor,Effect Monster,DARK,1600,1200,4
Malefic Blue-Eyes White Dragon,Effect Monster,DARK,3000,2500,8
Malefic Claw Stream,Trap Card,,,,
Malefic Cyber End Dragon,Effect Monster,DARK,4000,2800,10
Malefic Divide,Spell Card,,,,
Malefic Paradigm Dragon,Effect Monster,DARK,4000,4000,10
Malefic Paradox Gear,Effect Monster,DARK,0,0,1
Malefic Rainbow Dragon,Effect Monster,DARK,4000,0,10
Malefic Red-Eyes Black Dragon,Effect Monster,DARK,2400,2000,7
Malefic Selector,Spell Card,,,,
Malefic Stardust Dragon,Effect Monster,DARK,2500,2000,8
Malefic Territory,Spell Card,,,,
Malefic Truth Dragon,Effect Monster,DARK,5000,5000,12
Malefic Tune,Trap Card,,,,
Malefic World,Spell Card,,,,
Malevolent Catastrophe,Trap Card,,,,
Malevolent Mech - Goku En,Effect Monster,LIGHT,2400,1400,6
Malevolent Nuzzler,Spell Card,,,,
Malfunction,Trap Card,,,,
Malice Ascendant,Effect Monster,DARK,700,1000,4
Malice Dispersion,Spell Card,,,,
Malice Doll of Demise,Effect Monster,DARK,1600,1700,4
"Malice, Lady of Lament",Effect Monster,DARK,1000,1000,3
Malicevorous Fork,Effect Monster,DARK,400,400,2
Malicevorous Knife,Effect Monster,DARK,600,100,2
Malicevorous Spoon,Effect Monster,DARK,100,500,2
Maliss C GWC-06,Trap Card,,,,
Maliss C MTP-07,Trap Card,,,,
Maliss C TB-11,Trap Card,,,,
Maliss in Underground,Spell Card,,,,
Maliss P Chessy Cat,Effect Monster,DARK,1500,300,3
Maliss P Dormouse,Effect Monster,DARK,900,300,3
Maliss P White Rabbit,Effect Monster,DARK,1200,300,3
Mamemaki,Trap Card,,,,
Mammoth Graveyard,Normal Monster,EARTH,1200,800,3
Man Beast of Ares,Effect Monster,EARTH,500,500,3
Man Eater,Normal Monster,EARTH,800,600,2
Man-Eating Plant,Normal Monster,EARTH,800,600,2
Man-Eating Treasure Chest,Normal Monster,DARK,1600,1000,4
Man-Thro' Tro',Effect Monster,EARTH,1000,1000,4
Mana Dragon Zirnitron,Effect Monster,DARK,2200,1200,6
Maniacal Servant,Effect Monster,DARK,600,1000,3
Manju of the Ten Thousand Hands,Effect Monster,LIGHT,1400,1000,4
Mannadium Abscission,Spell Card,,,,
Mannadium Breakheart,Trap Card,,,,
Mannadium Imaginings,Spell Card,,,,
Mannadium Reframing,Trap Card,,,,
Mannadium Riumheart,Effect Monster,LIGHT,1500,2100,4
Mansion of the Dreadful Dolls,Spell Card,,,,
Manticore of Darkness,Effect Monster,FIRE,2300,1000,6
Manticore of Smashing,Effect Monster,FIRE,2300,1000,6
Mantman the Ultrahuman,Effect Monster,LIGHT,2400,1200,7
Marauding Captain,Effect Monster,EARTH,1200,400,3
March of the Dark Brigade,Spell Card,,,,
March of the Monarchs,Spell Card,,,,
March Towards Ragnarok,Spell Card,,,,
"Mardel, Generaider Boss of Light",Effect Monster,LIGHT,2400,2400,9
Margin Trading,Spell Card,,,,
"Mariamne, the True Dracophoenix",Effect Monster,WIND,2700,2100,9
"Marina, Princess of Sunflowers",Effect Monster,FIRE,2800,1600,8
Marincess Basilalima,Effect Monster,WATER,600,2100,4
Marincess Battle Ocean,Spell Card,,,,
Marincess Blue Tang,Effect Monster,WATER,1500,1200,4
Marincess Bubble Ring,Trap Card,,,,
Marincess Cascade,Trap Card,,,,
Marincess Circulation,Trap Card,,,,
Marincess Crown Tail,Effect Monster,WATER,600,2300,5
Marincess Current,Trap Card,,,,
Marincess Dive,Spell Card,,,,
Marincess Mandarin,Effect Monster,WATER,100,100,1
Marincess Pascalus,Effect Monster,WATER,1200,2000,4
Marincess Sea Horse,Effect Monster,WATER,1400,1000,3
Marincess Sea Star,Effect Monster,WATER,800,400,2
Marincess Sleepy Maiden,Effect Monster,WATER,500,2500,5
Marincess Snow,Trap Card,,,,
Marincess Springirl,Effect Monster,WATER,1200,1000,4
Marincess Wave,Trap Card,,,,
Marionette Mite,Effect Monster,DARK,1000,1000,3
Mark of the Rose,Spell Card,,,,
Marmiting Captain,Effect Monster,EARTH,1200,400,3
Marshalling Field,Trap Card,,,,
Marshmacaron,Effect Monster,LIGHT,200,200,1
Marshmallon,Effect Monster,LIGHT,300,500,3
Marshmallon Glasses,Spell Card,,,,
Maryokutai,Effect Monster,WATER,900,900,3
Masaki the Legendary Swordsman,Normal Monster,EARTH,1100,1100,4
Mask Change,Spell Card,,,,
Mask Change II,Spell Card,,,,
Mask Charge,Spell Card,,,,
Mask of Brutality,Spell Card,,,,
Mask of Dispel,Spell Card,,,,
Mask of Restrict,Trap Card,,,,
Mask of the Accursed,Spell Card,,,,
Mask of Weakness,Trap Card,,,,
Masked Beast Des Gardius,Effect Monster,DARK,3300,2500,8
Masked Chopper,Effect Monster,EARTH,100,100,1
Masked Clown,Normal Monster,DARK,500,700,2
Masked Dragon,Effect Monster,FIRE,1400,1100,3
Masked Ninja Ebisu,Effect Monster,WIND,1200,1800,4
Masked Sorcerer,Effect Monster,DARK,900,1400,4
Mass Driver,Spell Card,,,,
Mass Hypnosis,Trap Card,,,,
Massivemorph,Trap Card,,,,
Master & Expert,Normal Monster,EARTH,1200,1000,4
Master Craftsman Gamil,Effect Monster,FIRE,200,200,2
Master Gig,Effect Monster,EARTH,2600,1400,8
Master Hyperion,Effect Monster,LIGHT,2700,2100,8
Master Kyonshee,Normal Monster,EARTH,1750,1000,4
Master Monk,Effect Monster,EARTH,1900,1000,5
Master of the Flaming Dragonswords,Effect Monster,FIRE,1800,1200,4
"Master Peace, the True Dracoslayer",Effect Monster,LIGHT,2950,2950,8
"Master Peace, the True Dracoslaying King",Effect Monster,LIGHT,2950,2950,8
Master Tao the Chanter,Effect Monster,EARTH,1200,900,3
Master's Diploman,Effect Monster,DARK,2000,2000,5
Mataza the Zapper,Effect Monster,DARK,1300,800,3
Matching Outfits,Trap Card,,,,
Materiactor Annulus,Spell Card,,,,
Materiactor Critical,Trap Card,,,,
Materiactor Exarept,Effect Monster,WATER,1500,1500,3
Materiactor Gigadra,Effect Monster,DARK,1000,1000,3
Materiactor Meltdown,Spell Card,,,,
Materiactor Zeptowing,Effect Monster,FIRE,0,0,3
Materialization,Spell Card,,,,
Mathematician,Effect Monster,EARTH,1500,500,3
Mathmech Addition,Effect Monster,FIRE,1000,1000,4
Mathmech Billionblade Nayuta,Spell Card,,,,
Mathmech Circular,Effect Monster,LIGHT,1500,1500,4
Mathmech Division,Effect Monster,EARTH,1500,1000,4
Mathmech Equation,Spell Card,,,,
Mathmech Induction,Trap Card,,,,
Mathmech Multiplication,Effect Monster,EARTH,500,2000,4
Mathmech Subtraction,Effect Monster,FIRE,1000,1000,4
Mathmech Superfactorial,Trap Card,,,,
Matriarch of Nephthys,Effect Monster,WIND,600,600,2
Mature Chronicle,Spell Card,,,,
Mausoleum of the Emperor,Spell Card,,,,
Mausoleum of White,Spell Card,,,,
Max Metalmorph,Trap Card,,,,
Max Warrior,Effect Monster,WIND,1800,800,4
Maximum Six,Effect Monster,EARTH,1900,1600,6
"Maxx ""C""",Effect Monster,EARTH,500,200,2
Mayakashi Mayhem,Trap Card,,,,
Mayakashi Metamorphosis,Trap Card,,,,
Mayakashi Return,Spell Card,,,,
Mayakashi Winter,Spell Card,,,,
Mayhem Fur Hire,Spell Card,,,,
Mazera DeVille,Effect Monster,DARK,2800,2300,8
Mech Bass,Normal Monster,WATER,1800,1500,5
Mech Mole Zombie,Normal Monster,DARK,500,400,2
Mecha Bunny,Effect Monster,EARTH,800,100,2
Mecha Phantom Beast Aerosguin,Effect Monster,WIND,1600,400,3
Mecha Phantom Beast Blackfalcon,Effect Monster,WIND,1200,1700,4
Mecha Phantom Beast Coltwing,Effect Monster,WIND,1600,1500,4
Mecha Phantom Beast Hamstrat,Effect Monster,WIND,1100,1600,3
Mecha Phantom Beast Harrliard,Effect Monster,WIND,1800,800,4
Mecha Phantom Beast Kalgriffin,Effect Monster,WIND,1000,2500,7
Mecha Phantom Beast Megaraptor,Effect Monster,WIND,1900,1000,4
Mecha Phantom Beast Raiten,Effect Monster,WIND,1500,1500,4
Mecha Phantom Beast Sabre Hawk,Effect Monster,WIND,2100,100,4
Mecha Phantom Beast Stealthray,Effect Monster,WIND,100,2100,3
Mecha Phantom Beast Tetherwolf,Effect Monster,WIND,1700,1200,4
Mecha Phantom Beast Turtletracer,Effect Monster,WIND,500,2000,3
Mecha Sea Dragon Plesion,Effect Monster,WATER,2300,1800,5
Mecha-Dog Marron,Effect Monster,LIGHT,1000,1000,4
Mechaleon,Normal Monster,WATER,800,600,2
Mechanical Hound,Effect Monster,EARTH,2800,1500,7
Mechanical Snail,Normal Monster,DARK,800,1000,3
Mechanicalchaser,Normal Monster,DARK,1850,800,4
Meda Bat,Normal Monster,DARK,800,400,2
Medallion of the Ice Barrier,Spell Card,,,,
Medium of the Ice Barrier,Effect Monster,WATER,2200,1600,7
Medium Piece Golem,Effect Monster,EARTH,1600,0,4
Medusa Worm,Effect Monster,EARTH,500,600,2
"Medusa, Watcher of the Evil Eye",Effect Monster,DARK,1400,1600,4
Mefist the Infernal General,Effect Monster,DARK,1800,1700,5
Mega Fortress Whale,Effect Monster,WATER,2550,2350,7
Mega Thunderball,Normal Monster,WIND,750,600,2
Mega Ton Magical Cannon,Spell Card,,,,
Megalith Emergence,Trap Card,,,,
Megalith Portal,Spell Card,,,,
Megalith Promotion,Trap Card,,,,
Megalith Unformed,Spell Card,,,,
Megalosmasher X,Normal Monster,WATER,2000,0,4
Megamorph,Spell Card,,,,
Megarock Dragon,Effect Monster,EARTH,-1,-1,7
Megaroid City,Spell Card,,,,
Megasonic Eye,Normal Monster,DARK,1500,1800,5
Megazowler,Normal Monster,EARTH,1800,2000,6
Megirus Light,Normal Monster,DARK,900,600,3
Megistric Maginician,Effect Monster,FIRE,0,2000,1
"Mei-Kou, Master of Barriers",Effect Monster,LIGHT,1700,600,4
Mekanikal Arkfiend,Effect Monster,DARK,100,2100,4
Mekk-Knight Avram,Normal Monster,LIGHT,2000,0,4
Mekk-Knight Blue Sky,Effect Monster,LIGHT,2000,2500,5
Mekk-Knight Green Horizon,Effect Monster,LIGHT,2100,1600,6
Mekk-Knight Indigo Eclipse,Effect Monster,LIGHT,2400,2400,8
Mekk-Knight Orange Sunset,Effect Monster,LIGHT,800,3000,6
Mekk-Knight Purple Nightfall,Effect Monster,LIGHT,2500,2000,8
Mekk-Knight Red Moon,Effect Monster,LIGHT,2300,2600,7
Mekk-Knight Yellow Star,Effect Monster,LIGHT,2200,2800,7
Meklord Army Deployer Obbligato,Effect Monster,LIGHT,1200,1800,4
Meklord Army of Granel,Effect Monster,EARTH,1600,1200,4
Meklord Army of Skiel,Effect Monster,WIND,1200,1000,4
Meklord Army of Wisel,Effect Monster,DARK,1800,0,4
Meklord Assembly,Spell Card,,,,
Meklord Astro Dragon Asterisk,Effect Monster,DARK,0,0,10
Meklord Astro Dragon Triskelion,Effect Monster,DARK,3000,0,10
Meklord Astro Mekanikle,Effect Monster,LIGHT,4000,4000,12
Meklord Astro the Eradicator,Trap Card,,,,
Meklord Deflection,Spell Card,,,,
Meklord Emperor Granel,Effect Monster,EARTH,0,0,1
Meklord Emperor Skiel,Effect Monster,WIND,2200,2200,1
Meklord Emperor Wisel,Effect Monster,DARK,2500,2500,1
Meklord Emperor Wisel - Synchro Absorption,Effect Monster,DARK,2500,2500,1
Meklord Factory,Trap Card,,,,
Meklord Fortress,Spell Card,,,,
Meklord Nucleus Infinity Core,Effect Monster,DARK,0,0,1
Mektimed Blast,Trap Card,,,,
Melchid the Four-Face Beast,Normal Monster,DARK,1500,1200,4
Melffy Catty,Effect Monster,EARTH,200,200,2
Melffy Fenny,Effect Monster,EARTH,100,300,2
Melffy Hide-and-Seek,Spell Card,,,,
Melffy Playhouse,Trap Card,,,,
Melffy Pony,Effect Monster,EARTH,400,0,2
Melffy Puppy,Effect Monster,EARTH,300,100,2
Melffy Rabby,Normal Monster,EARTH,0,2100,2
Melffy Staring Contest,Spell Card,,,,
Melffy Tag,Spell Card,,,,
Melffy Wally,Effect Monster,EARTH,0,400,2
Melodious Concerto,Spell Card,,,,
Melodious Illusion,Trap Card,,,,
"Meltiel, Sage of the Sky",Effect Monster,LIGHT,1600,1200,4
Mementoal Tecuhtlica - Combined Creation,Effect Monster,EARTH,5000,5000,11
Mementomictlan,Spell Card,,,,
Mementotlan Akihiron,Effect Monster,WATER,1700,1400,5
Mementotlan Angwitch,Effect Monster,DARK,800,1000,3
Mementotlan Bone Back,Spell Card,,,,
Mementotlan Bone Party,Spell Card,,,,
Mementotlan Cranium Burst,Trap Card,,,,
Mementotlan Dark Blade,Effect Monster,DARK,1800,1500,4
Mementotlan Fracture Dance,Trap Card,,,,
Mementotlan Fusion,Spell Card,,,,
Mementotlan Ghattic,Effect Monster,DARK,550,400,2
Mementotlan Goblin,Effect Monster,DARK,400,400,1
Mementotlan Mace,Effect Monster,LIGHT,400,300,1
Mementotlan Shleepy,Effect Monster,EARTH,800,1000,3
Mementotlan Tatsunootoshigo,Effect Monster,EARTH,1350,1600,5
Mementotlan-Horned Dragon,Effect Monster,DARK,2850,2350,8
Memories of Hope,Spell Card,,,,
Memory Crush King,Effect Monster,DARK,2000,0,5
Memory Crusher,Effect Monster,DARK,1000,600,3
Memory Loss,Trap Card,,,,
Memory of an Adversary,Trap Card,,,,
Meotoko,Normal Monster,EARTH,700,600,2
Meowseclick,Effect Monster,EARTH,1400,1100,4
Merciful Machine Angel,Spell Card,,,,
Merlin,Effect Monster,DARK,1400,500,3
Mermaid Archer,Effect Monster,WATER,1200,200,3
Mermaid Knight,Effect Monster,WATER,1500,700,4
Mermaid Shark,Effect Monster,WATER,100,300,1
Mermail Abyssbalaen,Effect Monster,WATER,2500,2000,7
Mermail Abyssdine,Effect Monster,WATER,1000,200,3
Mermail Abyssgunde,Effect Monster,WATER,1400,800,3
Mermail Abysshilde,Effect Monster,WATER,1300,400,3
Mermail Abyssleed,Effect Monster,WATER,2700,1000,7
Mermail Abysslinde,Effect Monster,WATER,1500,1200,3
Mermail Abysslung,Effect Monster,WATER,1200,1800,4
Mermail Abyssmander,Effect Monster,WATER,100,2000,4
Mermail Abyssmegalo,Effect Monster,WATER,2400,1900,7
Mermail Abyssnerei,Effect Monster,WATER,1200,2000,3
Mermail Abyssnose,Effect Monster,WATER,1500,1500,4
Mermail Abyssocea,Effect Monster,WATER,1100,1900,3
Mermail Abysspike,Effect Monster,WATER,1600,800,4
Mermail Abyssteus,Effect Monster,WATER,1700,2400,7
Mermail Abyssturge,Effect Monster,WATER,1700,1100,4
Mermail Shadow Squad,Effect Monster,WATER,0,1900,3
Mesmeric Control,Spell Card,,,,
Message in a Bottle,Spell Card,,,,
Messenger of Peace,Spell Card,,,,
Metabo Globster,Effect Monster,DARK,800,300,3
Metabo-Shark,Effect Monster,WATER,1800,500,4
"Metaion, the Timelord",Effect Monster,FIRE,0,0,10
Metal Armored Bug,Normal Monster,EARTH,2800,1500,8
Metal Detector,Trap Card,,,,
Metal Fish,Normal Monster,WATER,1600,1900,5
Metal Flame Swordsman,Effect Monster,FIRE,2500,1600,6
Metal Guardian,Normal Monster,DARK,1150,2150,5
Metal Illusionist,Effect Monster,LIGHT,0,0,1
Metal Reflect Slime,Trap Card,,,,
Metal Shooter,Effect Monster,LIGHT,800,800,5
Metalfoes Combination,Trap Card,,,,
Metalfoes Counter,Trap Card,,,,
Metalfoes Fusion,Spell Card,,,,
Metalhold the Moving Blockade,Trap Card,,,,
Metalmorph,Trap Card,,,,
Metalrokket Dragon,Effect Monster,DARK,1700,1400,4
Metalsilver Armor,Spell Card,,,,
"Metaltron XII, the True Dracombatant",Effect Monster,LIGHT,3000,3000,9
Metaltronus,Spell Card,,,,
Metalzoa,Effect Monster,DARK,3000,2300,8
Metalzoa X,Effect Monster,DARK,3000,2300,8
Metamorformation,Spell Card,,,,
Metamorphortress,Trap Card,,,,
Metamorphosed Insect Queen,Effect Monster,EARTH,2800,2400,7
Metamorphosis,Spell Card,,,,
Metaphys Armed Dragon,Normal Monster,LIGHT,2800,1000,7
Metaphys Ascension,Trap Card,,,,
Metaphys Daedalus,Effect Monster,LIGHT,2600,1500,7
Metaphys Dimension,Trap Card,,,,
Metaphys Executor,Effect Monster,LIGHT,3000,2500,10
Metaphys Factor,Spell Card,,,,
Metaphys Nephthys,Effect Monster,LIGHT,2400,1600,8
Metaphys Tyrant Dragon,Effect Monster,LIGHT,2900,2500,8
Metaverse,Trap Card,,,,
Meteo the Matchless,Effect Monster,DARK,2400,2000,8
Meteonis Drytron,Spell Card,,,,
Meteor Dragon,Normal Monster,EARTH,1800,2000,6
Meteor Flare,Trap Card,,,,
Meteor of Destruction,Spell Card,,,,
Meteor Rush - Monochroid,Effect Monster,EARTH,0,0,10
Meteorain,Trap Card,,,,
Meteoroa Drytron,Trap Card,,,,
Mezuki,Effect Monster,EARTH,1700,800,4
"Michion, the Timelord",Effect Monster,FIRE,0,0,10
Michizure,Trap Card,,,,
Micro Coder,Effect Monster,DARK,300,0,1
Micro Ray,Trap Card,,,,
Mid Shield Gardna,Effect Monster,EARTH,100,1800,4
Midnight Fiend,Normal Monster,DARK,800,600,2
Mighty Dino King Rex,Effect Monster,EARTH,3200,1200,9
Mighty Guard,Normal Monster,EARTH,500,1200,4
Mikanko Dance - Mayowashidori,Spell Card,,,,
Mikanko Fire Dance,Spell Card,,,,
Mikanko Kagura,Spell Card,,,,
Mikanko Promise,Trap Card,,,,
Mikanko Purification Dance,Spell Card,,,,
Mikanko Reflection Rondo,Spell Card,,,,
Mikanko Rivalry,Trap Card,,,,
Mikanko Spiritwalk,Trap Card,,,,
Mikanko Water Arabesque,Spell Card,,,,
Mikazukinoyaiba,Normal Monster,DARK,2200,2350,7
"Mikazukinoyaiba, the Moon Fang Dragon",Effect Monster,DARK,2200,2350,7
Milla the Temporal Magician,Effect Monster,LIGHT,1800,1000,4
Millennium Ankh,Spell Card,,,,
Millennium Golem,Normal Monster,EARTH,2000,2200,6
Millennium Revelation,Spell Card,,,,
Millennium Scorpion,Effect Monster,EARTH,2000,1800,5
Millennium Seeker,Effect Monster,DARK,1000,1000,4
Millennium Shield,Normal Monster,EARTH,0,3000,5
Millennium-Eyes Illusionist,Effect Monster,DARK,0,1400,2
Million-Century Ice Prison,Spell Card,,,,
Milus Radiant,Effect Monster,EARTH,300,250,1
Mimesis Elephant,Trap Card,,,,
Mimicat,Spell Card,,,,
Mimiclay,Spell Card,,,,
Mimighoul Charm,Spell Card,,,,
Mimighoul Dungeon,Spell Card,,,,
Mimighoul Fork,Spell Card,,,,
Mimighoul Maker,Spell Card,,,,
Mimighoul Master,Effect Monster,EARTH,1800,1200,4
Mimighoul Room,Trap Card,,,,
Mimikuril,Effect Monster,DARK,0,0,3
Mimimic,Effect Monster,EARTH,300,300,3
Mimir of the Nordic Ascendant,Effect Monster,DARK,600,0,2
Minairuka,Effect Monster,WATER,1500,500,4
Minar,Effect Monster,EARTH,850,750,3
Mind Control,Spell Card,,,,
Mind Crush,Trap Card,,,,
Mind Drain,Trap Card,,,,
Mind Haxorz,Trap Card,,,,
Mind on Air,Effect Monster,DARK,1000,1600,6
Mind Over Matter,Trap Card,,,,
Mind Pollutant,Spell Card,,,,
Mind Protector,Effect Monster,LIGHT,0,2200,3
Mind Trust,Spell Card,,,,
Mind Wipe,Spell Card,,,,
Mine Golem,Effect Monster,EARTH,1000,1900,3
Mine Mole,Effect Monster,EARTH,1000,1200,3
Minefield Eruption,Trap Card,,,,
Minefieldriller,Effect Monster,EARTH,1500,1500,4
"Minerva, Scholar of the Sky",Effect Monster,LIGHT,1700,400,4
Mini-Guts,Spell Card,,,,
Miniaturize,Trap Card,,,,
Minoan Centaur,Effect Monster,EARTH,1800,1000,6
Minomushi Warrior,Normal Monster,EARTH,1300,1200,4
Minor Goblin Official,Trap Card,,,,
Mira Match,Effect Monster,FIRE,0,0,1
Miracle Contact,Spell Card,,,,
Miracle Dig,Spell Card,,,,
Miracle Fertilizer,Spell Card,,,,
Miracle Flipper,Effect Monster,LIGHT,300,500,2
Miracle Fusion,Spell Card,,,,
Miracle Jurassic Egg,Effect Monster,EARTH,0,2000,4
Miracle Kids,Trap Card,,,,
Miracle Locus,Trap Card,,,,
Miracle of the Supreme King,Trap Card,,,,
Miracle Restoring,Trap Card,,,,
Miracle Rupture,Spell Card,,,,
Miracle Stone,Spell Card,,,,
Miracle Synchro Fusion,Spell Card,,,,
Miracle's Wake,Trap Card,,,,
Miraculous Descent,Trap Card,,,,
Miraculous Rebirth,Spell Card,,,,
Mirage Dragon,Effect Monster,LIGHT,1600,600,4
Mirage Knight,Effect Monster,LIGHT,2800,2000,8
Mirage Mirror Force,Trap Card,,,,
Mirage of Nightmare,Spell Card,,,,
Mirage Swordsman,Effect Monster,FIRE,2800,2000,8
Mirage Tube,Spell Card,,,,
Mirror Force,Trap Card,,,,
Mirror Force Launcher,Trap Card,,,,
Mirror Gate,Trap Card,,,,
Mirror Ladybug,Effect Monster,LIGHT,100,100,1
Mirror Mail,Trap Card,,,,
Mirror of Oaths,Trap Card,,,,
Mirror of the Ice Barrier,Spell Card,,,,
Mirror of Yata,Spell Card,,,,
Mirror Swordknight,Effect Monster,LIGHT,1900,300,4
Mirror Wall,Trap Card,,,,
Misairuzame,Normal Monster,WATER,1400,1600,5
Miscellaneousaurus,Effect Monster,FIRE,1800,1000,4
Mischief of the Gnomes,Trap Card,,,,
Mischief of the Time Goddess,Spell Card,,,,
Mischief of the Yokai,Trap Card,,,,
Misfortune,Spell Card,,,,
Mispolymerization,Trap Card,,,,
Missing Force,Effect Monster,DARK,1500,1000,4
Mist Archfiend,Effect Monster,DARK,2400,0,5
Mist Body,Spell Card,,,,
Mist Condor,Effect Monster,WIND,1400,400,4
Mist Valley Apex Avian,Effect Monster,WIND,2700,2000,7
Mist Valley Executor,Effect Monster,WIND,2100,1600,5
Mist Valley Falcon,Effect Monster,WIND,2000,1200,4
Mist Valley Thunderbird,Effect Monster,WIND,1100,700,3
Mist Valley Watcher,Normal Monster,WIND,1500,1900,4
Mistake,Trap Card,,,,
Mistaken Accusation,Spell Card,,,,
Mistaken Arrest,Spell Card,,,,
Mithra the Thunder Vassal,Effect Monster,LIGHT,800,1000,2
Mitsu the Insect Ninja,Effect Monster,WATER,200,2100,2
Mixeroid,Effect Monster,WIND,0,2200,4
Moai Interceptor Cannons,Effect Monster,EARTH,1100,2000,4
Mobius the Frost Monarch,Effect Monster,WATER,2400,1000,6
Mobius the Mega Monarch,Effect Monster,WATER,2800,1000,8
Mogmole,Effect Monster,EARTH,800,800,2
Moisture Creature,Effect Monster,LIGHT,2800,2900,9
Moja,Effect Monster,EARTH,100,100,1
Mokey Mokey,Normal Monster,LIGHT,300,100,1
Mokey Mokey Adrift,Effect Monster,LIGHT,300,100,1
Mokey Mokey Smackdown,Spell Card,,,,
Molten Behemoth,Normal Monster,FIRE,1000,2200,5
Molten Conduction Field,Spell Card,,,,
Molten Destruction,Spell Card,,,,
Molten Whirlwind Wall,Trap Card,,,,
Molten Zombie,Effect Monster,FIRE,1600,400,4
Molting Escape,Spell Card,,,,
Mon Larvas,Normal Monster,EARTH,1300,1400,4
Monk Fighter,Effect Monster,EARTH,1300,1000,3
Monoceros,Effect Monster,LIGHT,1000,1000,3
Monster Assortment,Trap Card,,,,
Monster Egg,Normal Monster,EARTH,600,900,3
Monster Express,Effect Monster,EARTH,1500,1200,4
Monster Eye,Effect Monster,DARK,250,350,1
Monster Gate,Spell Card,,,,
Monster Rebirth,Trap Card,,,,
Monster Rebone,Trap Card,,,,
Monster Reborn,Spell Card,,,,
Monster Reborn Reborn,Spell Card,,,,
Monster Recovery,Spell Card,,,,
Monster Reincarnation,Spell Card,,,,
Monster Slots,Spell Card,,,,
Monster Tamer,Normal Monster,EARTH,1800,1600,5
Monstrous Bird,Normal Monster,WIND,2000,1900,6
Monsturtle,Normal Monster,WATER,800,1000,3
Montage Dragon,Effect Monster,EARTH,-1,0,8
Moon Dance Ritual,Trap Card,,,,
Moon Envoy,Normal Monster,LIGHT,1100,1000,4
Moon Mirror Shield,Spell Card,,,,
Moonlit Papillon,Effect Monster,LIGHT,1200,1600,4
Mooyan Curry,Spell Card,,,,
Morale Boost,Spell Card,,,,
Moray of Avarice,Spell Card,,,,
Moray of Greed,Spell Card,,,,
Mordschlag,Spell Card,,,,
Moremarshmallon,Effect Monster,LIGHT,300,500,3
"Morgan, the Enchantress of Avalon",Effect Monster,DARK,1300,1600,3
Morinphen,Normal Monster,DARK,1550,1300,5
Mormolith,Effect Monster,EARTH,1000,900,4
"Morpheus, the Dream Mirror Black Knight",Effect Monster,DARK,2800,1000,8
